127.0.0.1 - - [14/Nov/2023:15:58:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/MyPage.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/img/logout.png HTTP/1.1" 200 9794
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/img/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 26573
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/img/%EC%9C%A0%EC%A0%80.png HTTP/1.1" 200 12136
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/MyPageMain.css HTTP/1.1" 200 4170
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/img/%EC%B0%9C.png HTTP/1.1" 200 21996
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /LikeList/img/%EB%A7%88%EC%9D%B4%ED%8E%98%EC%9D%B4%EC%A7%80_%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 200 33217
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:58:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/MyPageLikeList.jsp HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/img/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/LikeList.css HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/img/%EC%9C%A0%EC%A0%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/img/%EB%A7%88%EC%9D%B4%ED%8E%98%EC%9D%B4%EC%A7%80_%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:15:59:05 +0900] "GET /LikeList/img/logout.png HTTP/1.1" 304 -
